name,url,location,address,type,comp
Software Engineer IV,https://sfbay.craigslist.org/sby/sof/5579374897.html,mountain view,"",full-time,Negotiable
Sr Back End Software Engineer - 46501493,https://sfbay.craigslist.org/sby/sof/5593124546.html,cupertino,"",full-time,Open
Sr Software Engineer - Maps - 48711723,https://sfbay.craigslist.org/sby/sof/5593120374.html,cupertino,"",full-time,Negotiable
Server Engineer - 48887167,https://sfbay.craigslist.org/sby/sof/5593049917.html,cupertino,"",full-time,Open
"QSP/QSD, Qualified SWPPP Practitioner or Qualified SWPPP Developer",https://sfbay.craigslist.org/sby/egr/5592511560.html,SF South Bay,North First Street at Trimble Road,full-time,"$60,000/year -$70,000/year"
Senior Performance Analytics Engineer - 48261985,https://sfbay.craigslist.org/sby/sof/5578320423.html,cupertino,"",full-time,Open
Symphony.com Senior Build Engineer (Docker / Jenkins / Maven / Python),https://sfbay.craigslist.org/pen/sof/5578104695.html,palo alto,1117 California St,full-time,"base salary, bonus, benefits, stock options"
Managed Services Engineer,https://sfbay.craigslist.org/sby/sad/5578100481.html,san jose west,4320 Stevens Creek Blvd,full-time,Market plus bonuses and incentives tied to performance
Managed Services Engineer,https://sfbay.craigslist.org/sby/tch/5578100483.html,san jose west,4320 Stevens Creek Blvd,full-time,Market plus bonuses and incentives tied to performance
IT Engineer,https://sfbay.craigslist.org/pen/sad/5577723722.html,mountain view,"",full-time,Commensurate with experience
Teach Young Inventors and Builders in an Innovation Summer Camp,https://sfbay.craigslist.org/pen/egr/5591342000.html,"Los Altos,Sunnyvale,Palo Alto,San Carlos","",full-time,TBD
Test Engineer,https://sfbay.craigslist.org/sby/ofc/5587929099.html,santa clara,"",full-time,"$15/hour plus life, medical, dental, vision insurance. Increases with experience."
Test Engineer,https://sfbay.craigslist.org/sby/sof/5587929100.html,santa clara,"",full-time,"$15/hour plus life, medical, dental, vision insurance. Increases with experience."
iCloud Automation Engineer - 47119142,https://sfbay.craigslist.org/sby/sof/5574165426.html,cupertino,"",full-time,Open
Maintenance Engineer or Guest Service Assoc.,https://sfbay.craigslist.org/sby/fbh/5574005832.html,sunnyvale,748 N. Mathilda Ave,full-time,Competative wages and benefits.
Software Engineer,https://sfbay.craigslist.org/sby/eng/5573897405.html,mountain view,Ellis Street at Middlefield,full-time,$80k-$100k annual salary
Software Engineer,https://sfbay.craigslist.org/sby/sof/5573897407.html,mountain view,Ellis Street at Middlefield,full-time,$80k-$100k annual salary
